"(-123.17024993896482, 49.23470306396071)","(-123.17563629150388, 49.2153701782185)","(-123.03997802734376, 49.203960418697015)","(-123.14374542236328, 49.27323150634351)","(-123.1161651611328, 49.23348999023023)","(-123.05846405029298, 49.20421981811106)","(-123.16487884521484, 49.25742721557202)","(-123.10424041748048, 49.28816604613845)","(-123.14540100097656, 49.2718467712361)","(-123.06777954101564, 49.29010391234939)","(-123.0519027709961, 49.29414749145095)","(-123.11153411865232, 49.20444488524975)","(-123.1161651611328, 49.23348999023023)","(-123.09390258789064, 49.29051589965409)","(-123.14125823974612, 49.27829360961501)","(-123.05662536621094, 49.24317550658764)","(-123.096923828125, 49.26700592040602)","(-123.10616302490234, 49.218875885005616)","(-123.02356719970705, 49.23226928710523)","(-123.10616302490234, 49.218875885005616)","(-123.20515441894528, 49.27805709838453)"
"(-123.17870330810544, 49.23472213744702)","(-123.17217254638668, 49.215278625484125)","(-123.04232025146484, 49.20400238036693)","(-123.14389801025388, 49.2731781005818)","(-123.12804412841795, 49.23390579223219)","(-123.0594482421875, 49.20424270629467)","(-123.16487884521484, 49.25756835937086)","(-123.0992889404297, 49.28927230834548)","(-123.14534759521486, 49.27196121215408)","(-123.06262207031251, 49.2895355224568)","(-123.046630859375, 49.29418182372634)","(-123.11196899414062, 49.20445632934154)","(-123.1159896850586, 49.23793792724194)","(-123.07701873779298, 49.29024887084548)","(-123.14267730712892, 49.28133010863845)","(-123.05811309814452, 49.24182891845287)","(-123.09688568115234, 49.266975402827896)","(-123.14015197753906, 49.21930694579663)","(-123.03034210205078, 49.23193359374585)","(-123.1056213378906, 49.23311614989819)","(-123.18941497802732, 49.275215148921646)"
"(-123.17909240722652, 49.216804504390375)","(-123.17156982421874, 49.21524810790601)","(-123.0568313598633, 49.20420074462476)","(-123.14404296875, 49.27311706542555)","(-123.12721252441408, 49.25696945190016)","(-123.06043243408205, 49.20430374145092)","(-123.17807006835936, 49.25776672362869)","(-123.09999847412112, 49.272750854488045)","(-123.1452865600586, 49.27207565307204)","(-123.06242370605467, 49.29087448119704)","(-123.03739166259764, 49.2927322387654)","(-123.1124038696289, 49.204452514644274)","(-123.1159896850586, 49.238006591792725)","(-123.0774154663086, 49.26514053344312)","(-123.14553833007812, 49.28436279296462)","(-123.05819702148436, 49.24175262450756)","(-123.09683990478516, 49.26694869994703)","(-123.13959503173828, 49.234272003169686)","(-123.030517578125, 49.231929779048585)","(-123.09053802490232, 49.232822418208734)","(-123.18548583984374, 49.27497100829665)"
"(-123.17908477783202, 49.21555709838452)","(-123.17096710205077, 49.21519851684155)","(-123.05684661865234, 49.20718383788647)","(-123.14418792724612, 49.27305221557202)","(-123.12721252441408, 49.25709915160719)","(-123.06140899658205, 49.2043952941853)","(-123.17810058593749, 49.25716400146071)","(-123.10169982910158, 49.27297210692946)","(-123.1452178955078, 49.27218627929275)","(-123.05648803710938, 49.293487548824)","(-123.02320098876952, 49.293533325191184)","(-123.1128387451172, 49.20442962646069)","(-123.11599731445312, 49.23807907104079)","(-123.08094787597658, 49.26515579223218)","(-123.1454086303711, 49.28713607787673)","(-123.0582733154297, 49.241672515865)","(-123.09679412841795, 49.26692581176344)","(-123.12804412841795, 49.23390579223219)","(-123.03069305419922, 49.23192977904858)","(-123.07703399658205, 49.23266601562084)","(-123.18550109863278, 49.27325439452711)"
"(-123.17910003662108, 49.21555709838452)","(-123.17037200927732, 49.21512603759349)","(-123.0568389892578, 49.20729446410717)","(-123.14432525634768, 49.272983551021255)","(-123.11504364013672, 49.25687026977125)","(-123.0623779296875, 49.20452499389232)","(-123.17792510986328, 49.25693893432204)","(-123.11107635498048, 49.27292633056227)","(-123.1451416015625, 49.27229690551344)","(-123.05658721923828, 49.26217651366774)","(-123.02323150634764, 49.29302978515212)","(-123.11327362060548, 49.20439147948802)","(-123.11600494384768, 49.238147735591554)","(-123.08120727539064, 49.26517105102126)","(-123.14775085449216, 49.28890609740797)","(-123.05834197998048, 49.24158859252516)","(-123.09674072265626, 49.266899108882576)","(-123.1056213378906, 49.23311614989819)","(-123.03086853027342, 49.23193740844313)","(-123.07742309570314, 49.21997070312085)","(-123.1859436035156, 49.26113891601148)"
"(-123.17975616455077, 49.21558761596264)","(-123.1697845458984, 49.21503067016186)","(-123.05682373046876, 49.20740509032788)","(-123.14445495605467, 49.2729110717732)","(-123.11553192138672, 49.24527359008374)","(-123.06333160400392, 49.20469284057201)","(-123.17616271972652, 49.25561141967359)","(-123.1144485473633, 49.271774291988045)","(-123.14505004882812, 49.272399902339615)","(-123.07746887207033, 49.2623367309529)","(-123.02356719970705, 49.26552581786695)","(-123.11370086669922, 49.20433425902904)","(-123.11602783203126, 49.238216400142335)","(-123.08145904541016, 49.26519393920483)","(-123.14168548583984, 49.29291915893141)","(-123.05841064453124, 49.2415046691853)","(-123.09669494628906, 49.26688003539626)","(0.0, 0.0)","(-123.0310516357422, 49.23194885253491)","(-123.07701110839844, 49.219184875484125)","(-123.18392944335936, 49.25976562499586)"
"(-123.18041229248044, 49.2156372070271)","(-123.16920471191403, 49.2149162292439)","(-123.0568084716797, 49.20751571654858)","(-123.1445846557617, 49.27283096313063)","(-123.11554718017578, 49.24519348144115)","(-123.0642776489258, 49.204895019527086)","(-123.17501068115232, 49.25408172607007)","(-123.1211624145508, 49.2695388793904)","(-123.14495086669922, 49.27250289916579)","(-123.0774154663086, 49.26514053344312)","(-123.02411651611328, 49.26539993285719)","(-123.11412048339844, 49.204261779781)","(-123.11605072021486, 49.23828506469312)","(-123.08171081542967, 49.265224456782974)","(-123.13809967041016, 49.29351425170485)","(-123.0584716796875, 49.24141693114819)","(-123.09664154052736, 49.26685714721266)","(0.0, 0.0)","(-123.03122711181642, 49.2319717407185)","(-123.0771484375, 49.20761489867749)","(-123.1839904785156, 49.25786590575759)"
"(-123.1810607910156, 49.21571350097242)","(-123.16864013671872, 49.21477890014234)","(-123.05677795410156, 49.207622528072015)","(-123.14469909667967, 49.27274703979079)","(-123.11556243896484, 49.245109558101326)","(-123.06519317626952, 49.2051277160603)","(-123.1719055175781, 49.25155258178297)","(-123.12928009033205, 49.26953124999586)","(-123.14484405517577, 49.27260208129469)","(-123.07701873779298, 49.29024887084548)","(-123.02464294433594, 49.26525115966384)","(-123.11453247070312, 49.20417404174388)","(-123.11608123779295, 49.238349914546646)","(-123.08196258544923, 49.26527023315016)","(-123.13668060302734, 49.294456481929465)","(-123.05851745605467, 49.24132537841382)","(-123.09658813476562, 49.2668418884236)","(0.0, 0.0)","(-123.03139495849612, 49.231998443599366)","(-123.07750701904295, 49.20756149291577)","(-123.20321655273436, 49.25814819335523)"
"(-123.18170166015622, 49.215812683101305)","(-123.16809082031249, 49.21461868285717)","(-123.05673217773436, 49.20772933959545)","(-123.14481353759766, 49.27265930175368)","(-123.11559295654295, 49.24502944945875)","(-123.0660934448242, 49.20539855956616)","(-123.16960144042967, 49.2489624023396)","(-123.13768005371092, 49.27531814574782)","(-123.14473724365234, 49.27269744872633)","(0.0, 0.0)","(-123.02516937255858, 49.26508712768141)","(-123.1171875, 49.20354843139232)","(-123.1161117553711, 49.23841476440016)","(-123.08874511718751, 49.26657867431227)","(-123.12109375, 49.28436660766189)","(-123.05856323242188, 49.24123764037672)","(-123.0965347290039, 49.26682662963454)","(0.0, 0.0)","(-123.03156280517578, 49.23202896117749)","(-123.07786560058592, 49.20749664306224)","(-123.21538543701168, 49.258331298824)"
"(-123.18232727050778, 49.21593475341382)","(-123.16754913330077, 49.21443939208569)","(-123.0566864013672, 49.20783615111889)","(-123.14491271972656, 49.2725677490193)","(-123.11562347412108, 49.24494934081617)","(-123.06697082519533, 49.20569992065015)","(-123.17092895507812, 49.249671936031)","(-123.13233184814452, 49.27693176269117)","(-123.14461517333986, 49.2727890014607)","(0.0, 0.0)","(-123.02567291259768, 49.264904022212654)","(-123.117431640625, 49.203475952144274)","(-123.11615753173828, 49.23847961425366)","(-123.08895111083984, 49.26662445067945)","(-123.13233184814452, 49.27693176269117)","(-123.05860137939456, 49.24114227294507)","(-123.09647369384764, 49.26681137084547)","(0.0, 0.0)","(-123.03173065185548, 49.23207092284742)","(-123.07821655273438, 49.207420349116944)","(-123.215087890625, 49.26735687255446)"
"(-123.18295288085936, 49.21607971190991)","(-123.16702270507812, 49.21424102782788)","(-123.05663299560548, 49.207942962642335)","(-123.14500427246094, 49.27247238158765)","(-123.11566162109376, 49.24487304687087)","(-123.06781768798828, 49.20603179931226)","(-123.17218780517577, 49.25004577636304)","(-123.12109375, 49.28436660766189)","(-123.1444854736328, 49.27287292480055)","(0.0, 0.0)","(-123.02616119384766, 49.26470565795485)","(-123.11766052246097, 49.20339202880444)","(-123.11620330810548, 49.23854446410718)","(-123.0891571044922, 49.26665878295484)","(-123.13768005371092, 49.27531814574782)","(-123.05862426757812, 49.24105072021069)","(-123.09642028808594, 49.26679992675368)","(0.0, 0.0)","(-123.03189849853516, 49.23211669921459)","(-123.0785598754883, 49.20733261107984)","(-123.21713256835936, 49.26733398437087)"
"(-123.18355560302732, 49.2162475585896)","(-123.16651916503903, 49.21401977538647)","(-123.05656433105467, 49.208042144771234)","(-123.14509582519533, 49.27237319945876)","(-123.11569976806642, 49.24479293822829)","(-123.06854248046876, 49.206340789790765)","(-123.1709518432617, 49.24845886230054)","(-123.13668060302734, 49.294456481929465)","(-123.14434814453124, 49.27295684814039)","(0.0, 0.0)","(-123.0266342163086, 49.26449203490797)","(-123.11788940429688, 49.20330047607005)","(-123.1162567138672, 49.23860549926343)","(-123.08936309814456, 49.26668930053297)","(0.0, 0.0)","(-123.0586471557617, 49.240955352779054)","(-123.0963592529297, 49.26678848266188)","(0.0, 0.0)","(-123.03205871582033, 49.232166290279054)","(-123.07889556884766, 49.20723342895092)","(-123.21838378906249, 49.26725006103101)"
"(-123.18415069580077, 49.21643447875562)","(-123.16598510742186, 49.21378707885327)","(-123.05649566650388, 49.20814132690013)","(-123.14517211914062, 49.27227401732985)","(-123.11575317382812, 49.24472045898023)","(-123.0688247680664, 49.20645523070873)","(-123.1705627441406, 49.248119354243904)","(-123.13468933105467, 49.29581069945876)","(-123.1442108154297, 49.27303314208571)","(0.0, 0.0)","(-123.02709197998048, 49.26425933837477)","(-123.1181106567383, 49.20320129394116)","(-123.11631011962892, 49.23866271972241)","(-123.08956909179686, 49.2667083740193)","(0.0, 0.0)","(-123.05866241455078, 49.2408599853474)","(-123.09629821777344, 49.26678085326735)","(0.0, 0.0)","(-123.03221130371094, 49.23222351073804)","(-123.0792236328125, 49.20712280273021)","(-123.21961975097652, 49.26710891723218)"
"(-123.1847229003906, 49.21664428710522)","(-123.16542816162108, 49.21357727050365)","(-123.05641174316406, 49.20824050902903)","(-123.1452407836914, 49.27217102050368)","(-123.11580657958984, 49.24464416503492)","(-123.06912231445314, 49.20655822753492)","(-123.17015838623044, 49.24788284301343)","(-123.12271118164062, 49.29150009154861)","(-123.14405822753906, 49.27310562133375)","(0.0, 0.0)","(-123.02753448486328, 49.264011383052505)","(-123.11832427978516, 49.2030944824177)","(-123.1181182861328, 49.24026107787671)","(-123.08978271484374, 49.266723632808365)","(0.0, 0.0)","(-123.0586700439453, 49.24076461791577)","(-123.09623718261716, 49.266773223872825)","(0.0, 0.0)","(-123.03236389160158, 49.23228454589428)","(-123.07995605468751, 49.206874847407946)","(-123.21962738037108, 49.268829345699)"
"(-123.1852798461914, 49.21687316894117)","(-123.1648483276367, 49.21339035033765)","(-123.05604553222656, 49.20868682860913)","(-123.14530181884766, 49.27206420898024)","(-123.11586761474612, 49.24457550048413)","(-123.06942749023436, 49.20664978026928)","(-123.17024993896482, 49.23470306396071)","(-123.11226654052732, 49.29016494750564)","(-123.14390563964844, 49.27317047118727)","(0.0, 0.0)","(-123.02794647216795, 49.26375198363843)","(-123.11852264404295, 49.20298004149974)","(-123.1181640625, 49.24030685424391)","(-123.0899963378906, 49.26672744750563)","(0.0, 0.0)","(-123.05885314941406, 49.232807159419686)","(-123.09618377685548, 49.26677322387282)","(0.0, 0.0)","(-123.03250885009766, 49.23235321044507)","(-123.08071899414062, 49.206661224361085)","(-123.22189331054686, 49.26853942870681)"
